 PARTY6     , COL4HDG, PARTY4     , PVTALLY3, PARTY1     , RNAME9          , PRCTSEQ,COUNTY    , PVTALLY7, COL5HDG, RNAME10              , PVTALLY1, RNAME6      , COL3HDG, PVTALLY2, RNAME8        , PARTY9     , BALSEQID, PARTY5     , PVTALLY8, ELECTDATE , PVTALLY9,source_file, CANDGROUP, PARTY3     , RNAME4                          , PARTY8     , PVTALLY4, COL7HDG, OFFICENAME                                       , PARTY2     , RNAME7          , RNAME5                     , PVTALLY10, RNAME3                       , PARTY7     , COL9HDG, JURISID, COL6HDG, COL2HDG, PVTALLY5, RNAME1                     , COL1HDG, RNAME2                        , COL8HDG, PRECINCT                   , PVTALLY6, PARTY10    , COL10HDG
            ,        ,            ,        0, Independent,                 ,    0086,Shelby    ,         ,        ,                      ,        4,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , Memphis 84-2               ,         ,            ,         
            ,       4, Independent,        9, Republican ,                 ,    0086,Shelby    ,         ,       5,                      ,       42,             ,       3,      585,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, Bobby Lyons                     ,            ,        7,        , United States House of Representatives District 9, Democratic ,                 , Write-In - Charles Shappley,          , Dennis Clark                 ,            ,        ,       9,        ,       2,        0, Charlotte Bergmann         ,       1, Steve Cohen                   ,        , Memphis 84-2               ,         ,            ,         
            ,        ,            ,         , Democratic ,                 ,    0086,Shelby    ,         ,        ,                      ,      572,             ,        ,         ,               ,            ,     0015,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee Senate District 30                     ,            ,                 ,                            ,          ,                              ,            ,        ,      30,        ,        ,         , Sara P. Kyle               ,       1,                               ,        , Memphis 84-2               ,         ,            ,         
            ,        ,            ,         , Democratic ,                 ,    0086,Shelby    ,         ,        ,                      ,      214,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 88   ,            ,                 ,                            ,          ,                              ,            ,        ,      88,        ,        ,         , Larry J. Miller            ,       1,                               ,        , Memphis 84-2               ,         ,            ,         
            ,        ,            ,         , Democratic ,                 ,    0086,Shelby    ,         ,        ,                      ,      360,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 98   ,            ,                 ,                            ,          ,                              ,            ,        ,      98,        ,        ,         , Antonio Parkinson          ,       1,                               ,        , Memphis 84-2               ,         ,            ,         
 Independent,       4, Independent,       10, Republican , Kanye West      ,    0087,Shelby    ,        1,       5, Write-In - R19 Boddie,      339, Jo Jorgensen,       3,     2214, Gloria La Riva, Independent,     0003, Independent,        1, 2020-11-03,       18,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        3,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        4, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, Memphis 86                 ,        6,            ,       10
            ,      14,            ,        0,            ,                 ,    0087,Shelby    ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , Memphis 86                 ,         ,            ,         
 Independent,       4, Independent,        4, Republican , Elizabeth McLeod,    0087,Shelby    ,       16,       5, Kacey Morgan         ,      320, G. Dean Hill,       3,     2122, Aaron James   , Independent,     0007, Independent,        8, 2020-11-03,       12,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,        9,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,         9," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,       14, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, Memphis 86                 ,        3, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0087,Shelby    ,         ,        ,                      ,       11,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , Memphis 86                 ,         ,            ,         
            ,       4, Independent,       48, Republican ,                 ,    0087,Shelby    ,         ,       5,                      ,      327,             ,       3,     2162,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, Bobby Lyons                     ,            ,       23,        , United States House of Representatives District 9, Democratic ,                 , Write-In - Charles Shappley,          , Dennis Clark                 ,            ,        ,       9,        ,       2,        0, Charlotte Bergmann         ,       1, Steve Cohen                   ,        , Memphis 86                 ,         ,            ,         
            ,        ,            ,         , Democratic ,                 ,    0087,Shelby    ,         ,        ,                      ,     2129,             ,        ,         ,               ,            ,     0015,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee Senate District 30                     ,            ,                 ,                            ,          ,                              ,            ,        ,      30,        ,        ,         , Sara P. Kyle               ,       1,                               ,        , Memphis 86                 ,         ,            ,         
            ,        ,            ,         , Democratic ,                 ,    0087,Shelby    ,         ,        ,                      ,     2176,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 98   ,            ,                 ,                            ,          ,                              ,            ,        ,      98,        ,        ,         , Antonio Parkinson          ,       1,                               ,        , Memphis 86                 ,         ,            ,         
 Independent,       4, Independent,        5, Republican , Kanye West      ,    0088,Shelby    ,        1,       5, Write-In - R19 Boddie,      178, Jo Jorgensen,       3,     1698, Gloria La Riva, Independent,     0003, Independent,        2, 2020-11-03,       15,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        1,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        3, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, Memphis 87-2               ,        7,            ,       10
            ,      14,            ,        0,            ,                 ,    0088,Shelby    ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , Memphis 87-2               ,         ,            ,         
 Independent,       4, Independent,        8, Republican , Elizabeth McLeod,    0088,Shelby    ,        9,       5, Kacey Morgan         ,      187, G. Dean Hill,       3,     1617, Aaron James   , Independent,     0007, Independent,        7, 2020-11-03,       15,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,        3,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,        13," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,        4, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, Memphis 87-2               ,        4, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0088,Shelby    ,         ,        ,                      ,        6,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , Memphis 87-2               ,         ,            ,         
            ,       4, Independent,       33, Republican ,                 ,    0088,Shelby    ,         ,       5,                      ,      189,             ,       3,     1649,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, Bobby Lyons                     ,            ,       25,        , United States House of Representatives District 9, Democratic ,                 , Write-In - Charles Shappley,          , Dennis Clark                 ,            ,        ,       9,        ,       2,        0, Charlotte Bergmann         ,       1, Steve Cohen                   ,        , Memphis 87-2               ,         ,            ,         
            ,        ,            ,         , Democratic ,                 ,    0088,Shelby    ,         ,        ,                      ,     1663,             ,        ,         ,               ,            ,     0015,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee Senate District 30                     ,            ,                 ,                            ,          ,                              ,            ,        ,      30,        ,        ,         , Sara P. Kyle               ,       1,                               ,        , Memphis 87-2               ,         ,            ,         
            ,        ,            ,         , Democratic ,                 ,    0088,Shelby    ,         ,        ,                      ,     1628,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 88   ,            ,                 ,                            ,          ,                              ,            ,        ,      88,        ,        ,         , Larry J. Miller            ,       1,                               ,        , Memphis 87-2               ,         ,            ,         
            ,        ,            ,         , Democratic ,                 ,    0088,Shelby    ,         ,        ,                      ,       30,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 98   ,            ,                 ,                            ,          ,                              ,            ,        ,      98,        ,        ,         , Antonio Parkinson          ,       1,                               ,        , Memphis 87-2               ,         ,            ,         
 Independent,       4, Independent,        8, Republican , Kanye West      ,    0089,Shelby    ,        4,       5, Write-In - R19 Boddie,      612, Jo Jorgensen,       3,     2447, Gloria La Riva, Independent,     0003, Independent,        1, 2020-11-03,       23,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        2,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        6, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, Memphis 87-3               ,       19,            ,       10
            ,      14,            ,        0,            ,                 ,    0089,Shelby    ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , Memphis 87-3               ,         ,            ,         
 Independent,       4, Independent,       16, Republican , Elizabeth McLeod,    0089,Shelby    ,       15,       5, Kacey Morgan         ,      615, G. Dean Hill,       3,     2317, Aaron James   , Independent,     0007, Independent,       12, 2020-11-03,       20,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,        6,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,         9," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,       11, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, Memphis 87-3               ,        8, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0089,Shelby    ,         ,        ,                      ,       19,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , Memphis 87-3               ,         ,            ,         
            ,       4, Independent,        0, Republican ,                 ,    0089,Shelby    ,         ,        ,                      ,        6,             ,       3,       21,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, James Hart                      ,            ,        1,        , United States House of Representatives District 8, Democratic ,                 ,                            ,          , Jon Dillard                  ,            ,        ,       8,        ,       2,         , David Kustoff              ,       1, Erika Stotts Pearson          ,        , Memphis 87-3               ,         ,            ,         
            ,       4, Independent,       62, Republican ,                 ,    0089,Shelby    ,         ,       5,                      ,      599,             ,       3,     2353,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, Bobby Lyons                     ,            ,       32,        , United States House of Representatives District 9, Democratic ,                 , Write-In - Charles Shappley,          , Dennis Clark                 ,            ,        ,       9,        ,       2,        0, Charlotte Bergmann         ,       1, Steve Cohen                   ,        , Memphis 87-3               ,         ,            ,         
            ,        ,            ,         , Democratic ,                 ,    0089,Shelby    ,         ,        ,                      ,     2402,             ,        ,         ,               ,            ,     0015,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee Senate District 30                     ,            ,                 ,                            ,          ,                              ,            ,        ,      30,        ,        ,         , Sara P. Kyle               ,       1,                               ,        , Memphis 87-3               ,         ,            ,         
            ,        ,            ,         , Democratic ,                 ,    0089,Shelby    ,         ,        ,                      ,      510,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 88   ,            ,                 ,                            ,          ,                              ,            ,        ,      88,        ,        ,         , Larry J. Miller            ,       1,                               ,        , Memphis 87-3               ,         ,            ,         
            ,        ,            ,         , Democratic ,                 ,    0089,Shelby    ,         ,        ,                      ,     1924,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 98   ,            ,                 ,                            ,          ,                              ,            ,        ,      98,        ,        ,         , Antonio Parkinson          ,       1,                               ,        , Memphis 87-3               ,         ,            ,         
 Independent,       4, Independent,        2, Republican , Kanye West      ,    0090,Shelby    ,        2,       5, Write-In - R19 Boddie,      667, Jo Jorgensen,       3,     1555, Gloria La Riva, Independent,     0003, Independent,        2, 2020-11-03,       13,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        1,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        6, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, Memphis 87-4               ,       19,            ,       10
            ,      14,            ,        0,            ,                 ,    0090,Shelby    ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , Memphis 87-4               ,         ,            ,         
 Independent,       4, Independent,        9, Republican , Elizabeth McLeod,    0090,Shelby    ,        4,       5, Kacey Morgan         ,      678, G. Dean Hill,       3,     1491, Aaron James   , Independent,     0007, Independent,        7, 2020-11-03,        9,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,        2,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,         5," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,        5, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, Memphis 87-4               ,        5, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0090,Shelby    ,         ,        ,                      ,       10,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , Memphis 87-4               ,         ,            ,         
            ,       4, Independent,       26, Republican ,                 ,    0090,Shelby    ,         ,        ,                      ,      686,             ,       3,     1470,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, James Hart                      ,            ,       24,        , United States House of Representatives District 8, Democratic ,                 ,                            ,          , Jon Dillard                  ,            ,        ,       8,        ,       2,         , David Kustoff              ,       1, Erika Stotts Pearson          ,        , Memphis 87-4               ,         ,            ,         
            ,       4, Independent,        0, Republican ,                 ,    0090,Shelby    ,         ,       5,                      ,        4,             ,       3,        7,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, Bobby Lyons                     ,            ,        0,        , United States House of Representatives District 9, Democratic ,                 , Write-In - Charles Shappley,          , Dennis Clark                 ,            ,        ,       9,        ,       2,        0, Charlotte Bergmann         ,       1, Steve Cohen                   ,        , Memphis 87-4               ,         ,            ,         
            ,        ,            ,         , Democratic ,                 ,    0090,Shelby    ,         ,        ,                      ,     1640,             ,        ,         ,               ,            ,     0015,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee Senate District 30                     ,            ,                 ,                            ,          ,                              ,            ,        ,      30,        ,        ,         , Sara P. Kyle               ,       1,                               ,        , Memphis 87-4               ,         ,            ,         
            ,        ,            ,         , Democratic ,                 ,    0090,Shelby    ,         ,        ,                      ,     1643,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 88   ,            ,                 ,                            ,          ,                              ,            ,        ,      88,        ,        ,         , Larry J. Miller            ,       1,                               ,        , Memphis 87-4               ,         ,            ,         
 Independent,       4, Independent,        1, Republican , Kanye West      ,    0091,Shelby    ,        3,       5, Write-In - R19 Boddie,      197, Jo Jorgensen,       3,      950, Gloria La Riva, Independent,     0003, Independent,        2, 2020-11-03,        9,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        2, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, Memphis 88-2               ,        7,            ,       10
            ,      14,            ,        0,            ,                 ,    0091,Shelby    ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , Memphis 88-2               ,         ,            ,         
 Independent,       4, Independent,        4, Republican , Elizabeth McLeod,    0091,Shelby    ,        8,       5, Kacey Morgan         ,      206, G. Dean Hill,       3,      914, Aaron James   , Independent,     0007, Independent,        2, 2020-11-03,        6,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,        1,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,         4," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,        3, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, Memphis 88-2               ,        1, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0091,Shelby    ,         ,        ,                      ,        5,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , Memphis 88-2               ,         ,            ,         
            ,       4, Independent,       17, Republican ,                 ,    0091,Shelby    ,         ,       5,                      ,      202,             ,       3,      933,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, Bobby Lyons                     ,            ,        9,        , United States House of Representatives District 9, Democratic ,                 , Write-In - Charles Shappley,          , Dennis Clark                 ,            ,        ,       9,        ,       2,        0, Charlotte Bergmann         ,       1, Steve Cohen                   ,        , Memphis 88-2               ,         ,            ,         
            ,        ,            ,         , Republican ,                 ,    0091,Shelby    ,         ,        ,                      ,      197,             ,        ,      887,               ,            ,     0015,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee Senate District 32                     , Democratic ,                 ,                            ,          ,                              ,            ,        ,      32,        ,       2,         , Paul W. Rose               ,       1, Julie Byrd Ashworth           ,        , Memphis 88-2               ,         ,            ,         
            ,        ,            ,         , Democratic ,                 ,    0091,Shelby    ,         ,        ,                      ,      944,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 88   ,            ,                 ,                            ,          ,                              ,            ,        ,      88,        ,        ,         , Larry J. Miller            ,       1,                               ,        , Memphis 88-2               ,         ,            ,         
 Independent,       4, Independent,        5, Republican , Kanye West      ,    0092,Shelby    ,        3,       5, Write-In - R19 Boddie,      409, Jo Jorgensen,       3,     1836, Gloria La Riva, Independent,     0003, Independent,        4, 2020-11-03,       12,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        2,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        6, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, Memphis 88-3               ,       14,            ,       10
            ,      14,            ,        0,            ,                 ,    0092,Shelby    ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , Memphis 88-3               ,         ,            ,         
 Independent,       4, Independent,        8, Republican , Elizabeth McLeod,    0092,Shelby    ,        5,       5, Kacey Morgan         ,      408, G. Dean Hill,       3,     1736, Aaron James   , Independent,     0007, Independent,        8, 2020-11-03,       14,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,        8,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,        13," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,        9, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, Memphis 88-3               ,        4, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0092,Shelby    ,         ,        ,                      ,       13,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , Memphis 88-3               ,         ,            ,         
            ,       4, Independent,       44, Republican ,                 ,    0092,Shelby    ,         ,       5,                      ,      402,             ,       3,     1752,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, Bobby Lyons                     ,            ,       34,        , United States House of Representatives District 9, Democratic ,                 , Write-In - Charles Shappley,          , Dennis Clark                 ,            ,        ,       9,        ,       2,        0, Charlotte Bergmann         ,       1, Steve Cohen                   ,        , Memphis 88-3               ,         ,            ,         
            ,        ,            ,         , Democratic ,                 ,    0092,Shelby    ,         ,        ,                      ,     1828,             ,        ,         ,               ,            ,     0015,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee Senate District 30                     ,            ,                 ,                            ,          ,                              ,            ,        ,      30,        ,        ,         , Sara P. Kyle               ,       1,                               ,        , Memphis 88-3               ,         ,            ,         
            ,        ,            ,         , Republican ,                 ,    0092,Shelby    ,         ,        ,                      ,      126,             ,        ,      462,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 97   , Democratic ,                 ,                            ,          ,                              ,            ,        ,      97,        ,       2,         , John Gillespie             ,       1, Gabby Salinas                 ,        , Memphis 88-3               ,         ,            ,         
            ,        ,            ,         , Democratic ,                 ,    0092,Shelby    ,         ,        ,                      ,     1338,             ,        ,         ,               ,            ,     0017,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0,            ,                                 ,            ,         ,        , Tennessee House of Representatives District 98   ,            ,                 ,                            ,          ,                              ,            ,        ,      98,        ,        ,         , Antonio Parkinson          ,       1,                               ,        , Memphis 88-3               ,         ,            ,         
 Independent,       4, Independent,        3, Republican , Kanye West      ,    0093,Shelby    ,        1,       5, Write-In - R19 Boddie,      160, Jo Jorgensen,       3,     1035, Gloria La Riva, Independent,     0003, Independent,        1, 2020-11-03,        9,Nov2020PrecinctDetail.csv,         1, Independent," ""Roque """"Rocky"""" De La Fuente""  ", Independent,        0,       7, United States President                          , Democratic , Alyson Kennedy  , Howie Hawkins              ,         0, Don Blankenship              , Independent,       9,       0,       6,       2,        1, Donald J. Trump            ,       1, Joseph R. Biden               ,       8, Memphis 88-4               ,        2,            ,       10
            ,      14,            ,        0,            ,                 ,    0093,Shelby    ,         ,        ,                      ,        0,             ,      13,        0,               ,            ,     0003,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            , Write-In - Kasey Wells          ,            ,        0,        , United States President                          ,            ,                 ,                            ,          , Write-In - Jade Simmons      ,            ,        ,       0,        ,      12,         , Write-In - Brian Carroll   ,      11, Write-In - Tom Hoefling       ,        , Memphis 88-4               ,         ,            ,         
 Independent,       4, Independent,       12, Republican , Elizabeth McLeod,    0093,Shelby    ,        8,       5, Kacey Morgan         ,      157, G. Dean Hill,       3,      960, Aaron James   , Independent,     0007, Independent,        5, 2020-11-03,        6,Nov2020PrecinctDetail.csv,         1, Independent, Jeffrey Alan Grunau             , Independent,        4,       7, United States Senate                             , Democratic , Steven J. Hooper, Ronnie Henley              ,         9," ""Yomi """"Fapas"""" Faparusi Sr.""", Independent,       9,       0,       6,       2,        5, Bill Hagerty               ,       1, Marquita Bradshaw             ,       8, Memphis 88-4               ,        2, Independent,       10
            ,        ,            ,        0, Independent,                 ,    0093,Shelby    ,         ,        ,                      ,        9,             ,      13,        0,               ,            ,     0007,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         2,            ,                                 ,            ,         ,        , United States Senate                             ,            ,                 ,                            ,          , Write-In - Al Green          ,            ,        ,       0,        ,      12,         , Eric William Stansberry    ,      11, Write-In - John A. Gentry     ,        , Memphis 88-4               ,         ,            ,         
            ,       4, Independent,       24, Republican ,                 ,    0093,Shelby    ,         ,       5,                      ,      146,             ,       3,     1011,               ,            ,     0011,            ,         , 2020-11-03,         ,Nov2020PrecinctDetail.csv,         0, Independent, Bobby Lyons                     ,            ,       16,        , United States House of Representatives District 9, Democratic ,                 , Write-In - Charles Shappley,          , Dennis Clark                 ,            ,        ,       9,        ,       2,        0, Charlotte Bergmann         ,       1, Steve Cohen                   ,        , Memphis 88-4               ,         ,            ,         
